CustomerID,Age,Income, TransactionFrequency, AverageTransactionValue,YearsWithBank,MostTransactionArea,CreditCard
134,20,56066,11,190,23,Entertainment,0
135,18,69927,4,179,1,Food,1
136,22,34454,4,133,10,Shopping,0
137,43,34223,15,226,18,Food,0
138,31,16044,3,265,15,Food,1
139,56,63156,19,328,19,Entertainment,0
140,44,58437,2,219,25,Shopping,1
141,26,60859,6,197,4,Entertainment,1
142,32,32254,8,154,6,Food,1
143,32,25936,17,106,2,Shopping,1
144,43,30205,5,208,13,Entertainment,0
145,59,36161,2,317,27,Travel,0
146,30,73309,12,263,2,Travel,1
147,49,65001,5,255,13,Utilities,1
148,56,43126,10,212,15,Utilities,0
149,49,54488,9,217,29,Shopping,0
150,21,39824,8,78,18,Utilities,1
151,47,55464,1,238,11,Shopping,1
152,54,32928,6,171,5,Food,1
153,40,61253,11,164,29,Travel,1
154,56,37254,3,183,25,Shopping,0
155,62,62088,15,182,14,Food,1
156,32,43588,11,164,22,Travel,0
157,60,38148,5,200,16,Entertainment,1
158,46,74194,16,172,14,Food,1
159,53,52654,7,205,9,Entertainment,0
160,30,45167,6,125,6,Utilities,0
161,49,61372,9,189,9,Shopping,0
162,24,29900,7,145,29,Travel,0
163,39,66602,3,167,5,Utilities,1
164,45,47908,11,207,11,Food,1
165,19,59011,12,119,12,Utilities,1
166,59,26781,11,158,17,Entertainment,1
167,62,44263,2,228,6,Entertainment,0
168,23,50068,1,129,20,Shopping,1
169,45,65454,2,288,25,Utilities,0
170,45,60206,14,260,6,Travel,1
171,61,44112,13,175,15,Entertainment,1
172,61,54769,5,160,17,Food,0
173,37,68848,2,210,22,Utilities,1
174,47,47000,19,127,3,Travel,1
175,28,45367,17,99,19,Travel,0
176,45,21654,11,177,23,Travel,0
177,42,45813,16,193,2,Travel,0
178,56,23905,18,204,9,Entertainment,1
179,50,48284,8,169,9,Shopping,0
180,18,64822,2,263,7,Utilities,0
181,44,18205,17,125,25,Entertainment,1
182,30,68513,11,143,16,Shopping,0
183,58,45046,14,224,27,Travel,1
184,20,49592,16,141,6,Food,0
185,56,42463,15,139,9,Travel,1
186,23,24301,15,206,26,Shopping,0
187,25,38255,3,147,13,Shopping,0
188,44,81461,7,193,2,Food,0
189,26,33559,12,165,14,Entertainment,0
190,54,26171,3,156,5,Food,1
191,50,52119,19,94,11,Travel,0
192,59,48713,10,206,15,Utilities,1
193,61,45150,8,137,6,Entertainment,1
194,41,50216,16,191,28,Utilities,1
195,32,59663,16,174,6,Utilities,0
196,49,41192,12,189,16,Entertainment,0
197,49,52916,5,192,27,Travel,0
198,41,65358,6,209,20,Shopping,0
199,58,35070,6,163,29,Travel,1
200,29,15167,8,262,4,Shopping,1
201,56,60062,17,107,5,Shopping,1
202,19,87544,12,188,6,Entertainment,0
203,20,49889,14,241,28,Entertainment,1
204,54,53028,2,223,13,Food,1
205,34,45562,19,151,14,Utilities,1
206,19,73820,6,159,24,Utilities,1
207,19,48833,18,149,28,Utilities,1
208,45,47201,4,229,13,Utilities,0
209,40,63662,5,163,10,Food,1
210,54,42735,6,212,17,Shopping,1
211,49,30729,15,213,24,Food,1
212,50,63234,6,318,18,Entertainment,1
213,18,41126,8,215,27,Travel,1
214,36,35368,9,159,7,Shopping,0
215,19,81500,6,126,4,Shopping,1
216,61,47321,2,186,24,Food,0
217,43,57413,16,194,22,Entertainment,0
218,49,50442,1,89,21,Entertainment,0
219,23,36705,16,164,16,Shopping,0
220,49,60341,1,214,10,Food,0
221,21,54718,1,173,26,Utilities,1
222,28,40109,7,248,21,Shopping,1
223,34,56497,16,122,20,Utilities,0
224,55,42285,17,233,19,Travel,0
225,41,33432,16,245,3,Entertainment,0
226,22,31914,16,247,19,Shopping,0
227,51,54050,6,121,23,Travel,1
228,23,44259,18,215,24,Utilities,1
229,39,72525,3,166,13,Shopping,0
230,28,49355,8,129,8,Travel,1
231,33,38221,4,179,18,Shopping,0
232,50,52367,4,154,19,Travel,1
233,26,30585,17,246,18,Travel,0
234,23,48738,5,225,22,Utilities,1
235,33,54787,14,142,27,Entertainment,1
236,46,52935,15,163,19,Food,0
237,20,69541,12,180,22,Travel,0
238,37,88962,13,196,4,Entertainment,1
239,53,60070,18,250,13,Food,0
240,36,67681,14,234,12,Utilities,0
241,43,88151,19,202,15,Shopping,1
242,20,34906,7,186,26,Entertainment,0
243,36,51959,6,111,15,Shopping,0
244,37,42830,5,264,10,Shopping,1
245,49,62639,4,177,22,Food,0
246,24,54074,18,277,29,Entertainment,1
247,58,37723,14,209,19,Travel,1
248,50,50164,16,301,21,Food,0
249,57,65703,14,230,8,Entertainment,0
250,56,30444,5,128,19,Travel,0
251,35,38039,11,169,25,Shopping,1
252,57,35790,12,191,9,Utilities,0
253,18,54895,18,156,29,Utilities,1
254,28,68607,4,181,7,Food,0
255,45,19853,13,131,8,Travel,1
256,42,51415,13,200,9,Travel,0
257,40,36136,4,211,17,Utilities,1
258,48,65081,7,149,15,Travel,0
259,47,46445,2,297,16,Entertainment,0
260,59,51960,18,203,7,Entertainment,1
261,52,49979,6,159,10,Utilities,1
262,24,66863,16,118,19,Shopping,1
263,33,80729,3,202,6,Shopping,1
264,43,32980,15,186,25,Shopping,1
265,19,35711,10,239,12,Utilities,1
266,18,54822,9,192,15,Food,0
267,29,37753,11,140,10,Travel,1
268,22,64003,14,283,27,Entertainment,0
269,54,66411,12,221,24,Entertainment,1
270,49,41801,7,187,18,Food,1
271,26,38546,11,208,4,Travel,1
272,58,45878,17,223,11,Shopping,1
273,52,51560,9,128,5,Entertainment,1
274,36,54722,13,207,13,Shopping,0
275,33,16207,16,177,10,Shopping,0
276,20,35488,3,225,22,Utilities,1
277,37,43938,5,162,29,Utilities,0
278,41,38045,17,169,7,Travel,0
279,50,7029,1,283,11,Entertainment,1
280,41,21674,9,261,4,Utilities,1
281,28,30419,17,35,4,Travel,1
282,25,48270,13,257,5,Food,0
283,53,43456,15,196,25,Shopping,1
284,55,40526,8,164,9,Entertainment,0
285,57,61947,8,149,1,Entertainment,0
286,37,61942,2,152,29,Travel,1
287,52,52248,10,166,16,Utilities,0
288,42,51801,5,143,5,Shopping,0
289,52,37150,16,132,5,Shopping,1
290,42,38945,19,147,7,Entertainment,1
291,46,24385,1,216,8,Entertainment,1
292,35,46238,13,202,19,Shopping,0
293,63,61786,4,227,1,Food,1
294,35,70314,7,196,18,Travel,1
295,19,46328,1,134,22,Food,0
296,52,57375,2,224,11,Utilities,0
297,33,7160,16,149,22,Food,1
298,58,43506,14,232,27,Food,0
299,53,43154,5,141,29,Utilities,1
300,50,72367,14,165,16,Travel,0
301,21,55894,17,181,21,Shopping,0
302,50,57413,12,233,11,Food,0
303,31,56634,12,208,21,Travel,1
304,38,50681,3,201,9,Utilities,0
305,37,72985,2,294,27,Travel,0
306,25,15420,15,108,7,Food,0
307,24,52193,11,148,22,Shopping,1
308,20,66947,10,145,15,Utilities,0
309,34,21629,18,111,11,Utilities,1
310,50,62568,2,164,23,Food,1
311,29,38582,7,234,19,Travel,1
312,39,51647,7,170,29,Shopping,1
313,39,38294,7,183,7,Utilities,1
314,63,64387,14,113,16,Food,0
315,47,45674,2,160,3,Food,0
316,55,62686,2,176,16,Entertainment,1
317,55,56529,15,232,8,Entertainment,1
318,62,38093,11,116,26,Travel,0
319,25,57527,10,177,10,Food,0
320,44,40046,3,254,9,Travel,1
321,44,50961,17,177,3,Travel,1
322,51,45401,9,94,7,Shopping,1
323,38,63498,15,263,8,Entertainment,1
324,47,58104,14,236,3,Travel,0
325,50,49539,19,243,16,Shopping,1
326,45,39714,17,112,22,Shopping,1
327,64,30965,17,275,29,Entertainment,1
328,50,52034,16,161,14,Entertainment,0
329,22,40515,8,174,7,Food,1
330,36,21830,7,164,4,Travel,1
331,21,30049,12,247,6,Shopping,0
332,52,74388,1,191,7,Food,1
333,34,40100,12,224,12,Travel,1
334,61,66232,6,203,7,Travel,0
335,45,44650,16,195,27,Food,1
336,47,68593,18,152,1,Shopping,1
337,46,67507,19,290,18,Food,0
338,63,37614,3,126,11,Travel,1
339,23,20180,3,220,11,Food,1
340,52,21450,5,218,17,Food,1
341,58,37870,3,257,25,Travel,1
342,54,78344,19,269,12,Entertainment,0
343,41,43841,5,193,23,Shopping,1
344,46,52178,14,226,27,Travel,0
345,63,69550,16,288,23,Entertainment,1
346,48,51654,1,196,19,Food,1
347,52,51138,17,146,21,Entertainment,1
348,50,59339,11,180,18,Travel,1
349,38,54334,9,134,21,Travel,1
350,49,48507,4,218,24,Food,0
351,40,39178,2,253,13,Travel,1
352,50,51177,9,193,10,Utilities,1
353,20,66415,5,118,19,Entertainment,0
354,35,76730,4,251,4,Utilities,0
355,42,54384,5,111,24,Utilities,1
356,59,61327,18,122,15,Entertainment,0
357,48,54045,13,191,18,Travel,1
358,20,48690,5,212,1,Entertainment,1
359,57,57713,19,221,19,Food,1
360,63,67839,3,196,2,Utilities,0
361,41,36704,18,288,10,Utilities,1
362,49,28229,6,203,18,Travel,0
363,64,42004,6,251,4,Entertainment,0
364,39,53174,5,239,29,Shopping,0
365,40,63048,1,135,29,Travel,1
366,19,35157,8,191,22,Travel,1
367,44,12671,1,306,10,Travel,1
368,59,42358,6,174,26,Entertainment,0
369,19,47091,14,166,21,Travel,0
370,43,32565,11,208,4,Food,1
371,34,38658,2,176,24,Food,0
372,57,63009,4,160,27,Utilities,0
373,50,51171,13,175,21,Utilities,0
374,26,55184,7,271,18,Entertainment,0
375,60,44664,6,193,20,Shopping,0
376,56,38688,3,133,23,Utilities,1
377,46,44556,9,124,4,Utilities,1
378,59,57483,14,310,15,Utilities,1
379,43,27630,11,188,22,Utilities,1
380,52,74752,5,221,18,Travel,1
381,42,58622,14,161,9,Utilities,0
382,41,41961,19,216,20,Entertainment,0
383,30,62201,8,272,29,Travel,1
384,24,68335,7,167,17,Travel,1
385,53,45044,7,222,3,Entertainment,1
386,62,46751,3,129,13,Shopping,1
387,37,72402,3,301,7,Utilities,0
388,18,81784,18,213,14,Food,1
389,25,50441,13,179,26,Shopping,0
390,63,32626,1,185,25,Utilities,1
391,33,42940,5,174,6,Food,0
392,31,65495,4,177,14,Travel,1
393,29,34546,16,77,14,Travel,0
394,40,46875,15,195,29,Travel,1
395,32,54388,18,193,14,Utilities,0
396,45,36159,17,224,20,Entertainment,1
397,51,66446,14,173,18,Travel,1
398,19,60409,14,161,9,Travel,0
399,49,80143,19,199,12,Travel,0
400,40,61721,6,119,14,Utilities,1
401,39,35586,13,207,24,Food,1
402,42,57955,18,106,23,Shopping,0
403,39,64820,15,256,16,Travel,0
404,39,65592,7,234,2,Shopping,0
405,59,38347,19,153,16,Entertainment,1
406,23,36554,17,233,18,Entertainment,0
407,32,32905,9,205,24,Entertainment,1
408,60,74070,11,149,9,Travel,0
409,54,59343,5,98,25,Shopping,0
410,50,37681,2,215,8,Food,1
411,25,51907,15,160,1,Utilities,1
412,61,48144,12,254,5,Shopping,0
413,61,35411,10,200,7,Utilities,1
414,22,50542,10,165,10,Shopping,1
415,56,52860,11,289,22,Travel,1
416,21,78968,10,228,11,Food,0
417,23,40164,7,17,12,Travel,1
418,62,24359,14,175,1,Entertainment,1
419,49,34265,13,130,26,Food,0
420,47,36610,5,160,6,Shopping,0
421,64,43596,19,192,4,Travel,1
422,52,34302,10,217,3,Utilities,0
423,57,62331,8,213,4,Travel,1
424,33,33259,18,253,24,Travel,1
425,30,50300,1,231,27,Shopping,0
426,59,80002,5,228,6,Shopping,0
427,47,58303,11,210,25,Entertainment,1
428,36,56761,11,264,5,Food,1
429,34,77859,16,184,27,Travel,0
430,36,68684,10,185,9,Utilities,0
431,45,58476,15,104,4,Shopping,0
432,43,45339,7,252,14,Shopping,1
433,54,49659,15,196,15,Entertainment,0
434,43,48930,16,346,28,Food,1
435,40,43978,6,179,4,Entertainment,1
436,26,53180,11,204,22,Shopping,0
437,29,55261,17,227,14,Utilities,0
438,18,31330,15,144,29,Entertainment,1
439,18,74480,16,217,10,Travel,0
440,64,56146,2,201,27,Shopping,1
441,51,46058,4,184,7,Shopping,0
442,49,53317,19,258,18,Entertainment,1
443,42,63955,6,154,20,Utilities,1
444,57,27999,18,213,15,Entertainment,1
445,62,48424,11,272,29,Utilities,1
446,18,32212,9,164,8,Shopping,0
447,33,89855,3,185,9,Entertainment,1
448,56,52072,2,317,5,Food,1
449,22,32333,18,223,6,Entertainment,0
450,39,103992,15,174,26,Entertainment,1
451,46,41959,18,240,12,Food,0
452,20,46863,19,171,7,Food,1
453,29,47948,15,121,7,Travel,0
454,43,37280,17,268,15,Food,0
455,33,53710,18,144,19,Utilities,1
456,54,16838,18,322,13,Travel,1
457,39,66288,11,175,18,Utilities,0
458,46,33082,18,306,10,Travel,0
459,31,43770,3,131,8,Travel,1
460,45,61272,13,251,25,Utilities,1
461,22,46933,14,224,11,Shopping,1
462,64,47546,4,241,8,Shopping,1
463,47,34818,18,248,8,Entertainment,0
464,63,81434,5,175,15,Shopping,0
465,22,57972,14,134,2,Entertainment,0
466,29,33758,12,197,27,Shopping,0
467,33,52672,7,211,20,Entertainment,1
468,43,32697,12,176,22,Entertainment,0
469,43,75836,8,213,24,Food,1
470,38,52994,3,216,13,Entertainment,1
471,56,35366,1,154,18,Utilities,1
472,53,60463,3,219,12,Utilities,1
473,50,45828,11,186,8,Entertainment,1
474,47,30676,18,165,17,Utilities,0
475,54,55715,7,239,27,Shopping,0
476,40,55292,9,161,6,Utilities,0
477,27,67066,4,177,16,Food,1
478,22,50967,10,203,24,Utilities,0
479,53,51605,18,268,24,Shopping,1
480,51,52401,16,209,28,Shopping,0
481,48,73929,12,226,27,Entertainment,0
482,27,45348,19,185,23,Travel,1
483,36,57041,3,196,23,Shopping,1
484,49,59251,8,197,14,Entertainment,0
485,18,55246,19,214,27,Entertainment,1
486,22,44781,9,185,10,Utilities,1
487,62,51809,19,266,27,Utilities,1
488,21,48595,17,181,28,Entertainment,0
489,33,79388,13,114,25,Food,0
490,41,43133,2,337,2,Entertainment,0
491,33,36311,4,183,13,Utilities,1
492,19,49906,11,265,1,Shopping,1
493,45,48849,2,270,28,Food,1
494,49,52952,4,247,18,Travel,1
495,44,43138,4,190,14,Shopping,1
496,37,51655,1,214,3,Utilities,0
497,41,51944,11,136,15,Shopping,0
498,29,63589,2,299,9,Shopping,0
499,52,51395,19,157,26,Utilities,1
500,50,51537,8,187,13,Shopping,0
501,50,57745,4,204,23,Entertainment,0
502,60,63014,16,194,5,Food,0
503,54,35244,15,167,5,Utilities,1
504,29,31215,5,269,22,Food,1
505,20,75432,5,247,2,Entertainment,0
506,18,60561,15,216,1,Utilities,0
507,50,46709,17,180,27,Entertainment,0
508,57,50295,3,253,17,Travel,0
509,27,44111,18,176,19,Travel,1
510,60,53169,11,278,17,Travel,0
511,61,35422,6,205,9,Food,1
512,46,62602,12,261,10,Travel,0
513,30,52631,17,194,29,Travel,1
514,29,53174,14,203,15,Entertainment,1
515,48,36590,6,261,13,Shopping,1
516,63,57864,10,309,29,Shopping,0
517,19,36935,16,278,21,Travel,1
518,52,39617,18,243,25,Shopping,1
519,40,51314,6,229,21,Travel,0
520,34,87609,19,174,17,Travel,0
521,43,52571,3,214,27,Food,1
522,25,11467,12,154,28,Utilities,1
523,46,40362,16,218,23,Shopping,0
524,43,60255,3,222,7,Travel,0
525,27,33073,16,101,4,Shopping,1
526,43,62466,4,201,3,Food,0
527,51,52382,13,220,1,Food,0
528,58,64869,4,195,7,Travel,1
529,24,41617,4,217,5,Shopping,0
530,21,40448,7,132,26,Shopping,1
531,62,58474,12,161,17,Shopping,0
532,28,49887,2,251,17,Food,0
533,46,48979,16,200,15,Entertainment,0
534,53,73534,7,216,3,Entertainment,0
535,42,59062,19,172,3,Shopping,0
536,38,20151,11,200,2,Shopping,0
537,53,61986,1,84,8,Utilities,1
538,27,60484,9,242,13,Travel,0
539,54,67773,5,290,28,Food,1
540,26,35904,17,146,24,Utilities,0
541,41,54872,1,152,6,Shopping,0
542,52,51674,17,222,5,Entertainment,0
543,52,35635,12,273,13,Entertainment,0
544,53,64201,13,199,22,Utilities,0
545,35,46376,11,138,1,Entertainment,0
546,56,67290,13,189,18,Entertainment,1
547,49,38857,13,148,7,Travel,1
548,41,28091,6,166,17,Shopping,0
549,40,46361,6,184,8,Utilities,1
550,49,53478,10,153,19,Food,0
551,54,41987,19,161,16,Food,1
552,29,4033,3,203,14,Shopping,1
553,30,55754,7,210,20,Food,0
554,40,55684,5,128,23,Entertainment,1
555,42,60307,8,219,10,Travel,0
556,52,44292,5,180,23,Utilities,0
557,58,43474,12,236,2,Utilities,1
558,47,71604,4,239,21,Entertainment,0
559,34,26368,19,172,24,Shopping,1
560,37,46293,18,230,16,Travel,0
561,42,52134,3,158,25,Food,1
562,39,59090,7,266,13,Utilities,1
563,30,52546,8,160,5,Utilities,1
564,36,36170,15,217,18,Shopping,0
565,53,67514,17,190,20,Travel,1
566,29,50028,19,149,11,Food,1
567,58,24979,4,245,5,Utilities,0
568,36,53137,16,169,22,Utilities,1
569,29,57129,13,114,28,Food,1
570,26,79411,12,55,22,Travel,0
571,24,56131,4,156,13,Travel,1
572,45,27769,12,268,28,Travel,1
573,31,28296,17,262,1,Utilities,0
574,48,68880,9,164,6,Entertainment,0
575,36,37957,12,181,11,Utilities,0
576,64,26756,15,176,10,Shopping,1
577,33,65007,2,133,1,Shopping,0
578,22,42863,9,152,16,Utilities,0
579,52,64205,14,249,13,Utilities,0
580,29,36279,4,225,21,Food,1
581,42,72107,4,213,27,Travel,0
582,38,63080,6,133,16,Food,0
583,53,39159,5,205,15,Shopping,0
584,40,25094,17,84,7,Shopping,1
585,33,84577,13,242,14,Entertainment,0
586,56,46846,17,212,24,Travel,0
587,62,38559,19,132,11,Travel,1
588,59,70794,1,280,27,Shopping,1
589,56,64186,17,110,13,Food,0
590,31,67741,3,226,5,Utilities,0
591,48,48522,14,227,18,Travel,1
592,22,78215,12,138,3,Utilities,0
593,52,30340,15,198,12,Shopping,0
594,40,41719,6,118,7,Entertainment,1
595,46,55848,2,57,26,Shopping,0
596,60,67521,4,146,20,Utilities,1
597,28,59917,13,169,15,Shopping,1
598,35,48757,13,232,1,Travel,0
599,64,42872,17,203,19,Utilities,1
600,29,67602,6,204,10,Utilities,1
601,26,61465,11,149,14,Entertainment,0
602,27,36882,19,173,15,Travel,0
603,61,36435,16,153,2,Food,1
604,34,41817,8,138,25,Entertainment,1
605,55,39893,1,170,17,Travel,0
606,24,65447,10,203,25,Food,0
607,63,56535,2,171,10,Utilities,1
608,30,58366,19,183,5,Entertainment,0
609,57,52875,14,234,28,Utilities,1
610,59,53581,3,174,6,Utilities,0
611,26,26272,9,133,6,Utilities,1
612,44,61912,8,228,28,Travel,1
613,19,41547,11,213,6,Food,1
614,22,49502,15,216,25,Travel,0
615,46,42902,6,231,14,Utilities,1
616,54,52188,2,222,13,Entertainment,0
617,55,58596,1,201,13,Utilities,0
618,36,34867,3,319,25,Food,1
619,25,53791,18,135,27,Travel,0
620,62,43264,14,170,10,Food,0
621,18,69821,17,248,16,Travel,1
622,39,33280,2,207,7,Food,1
623,34,34962,19,237,3,Food,0
624,24,44606,9,208,15,Travel,1
625,42,36115,8,268,23,Travel,1
626,62,46634,10,149,5,Travel,1
627,21,42081,9,267,25,Shopping,0
628,53,51326,8,258,8,Food,1
629,23,65121,7,139,26,Shopping,0
630,48,51069,6,231,28,Shopping,1
631,36,52435,2,197,22,Utilities,0
632,61,34140,9,169,5,Shopping,1
633,56,47989,9,105,26,Shopping,1
634,44,43673,19,149,2,Travel,0
635,27,60224,9,235,27,Travel,1
636,43,38531,2,240,28,Entertainment,1
637,36,37090,19,189,19,Food,1
638,56,54761,16,240,11,Shopping,1
639,20,79701,14,247,11,Shopping,0
640,62,47360,1,207,3,Food,1
641,30,52523,13,163,13,Travel,0
642,45,64220,2,222,20,Travel,0
643,37,57648,14,224,19,Food,0
644,45,57747,1,233,23,Food,1
645,25,48572,15,243,29,Travel,1
646,58,48863,18,131,15,Food,0
647,56,38672,9,174,6,Travel,0
648,18,57295,8,105,13,Food,0
649,20,56953,7,237,24,Travel,1
650,30,60757,9,189,18,Entertainment,0
651,45,42678,9,221,18,Travel,1
652,42,62452,11,126,1,Travel,0
653,50,67000,4,270,21,Shopping,1
654,55,31790,7,140,23,Travel,0
655,23,45546,7,238,25,Food,1
656,61,67625,4,205,21,Utilities,1
657,62,40256,12,190,27,Food,1
658,49,57931,17,186,11,Shopping,0
659,62,50128,3,168,16,Food,1
660,64,54963,9,264,1,Entertainment,0
661,38,50585,5,200,19,Utilities,1
662,33,61192,16,136,8,Utilities,1
663,38,34677,8,180,19,Shopping,1
664,28,36300,16,206,23,Utilities,1
665,54,71967,19,244,16,Travel,0
666,53,81505,16,169,26,Shopping,1
667,52,49918,18,173,3,Entertainment,0
668,36,75728,15,201,2,Utilities,1
669,37,38423,18,243,12,Utilities,1
670,35,42026,14,131,29,Shopping,0
671,64,71862,16,225,10,Utilities,0
672,58,62061,5,176,22,Utilities,0
673,31,74096,8,183,2,Entertainment,0
674,32,57028,16,300,26,Entertainment,0
675,48,34811,1,190,21,Shopping,0
676,18,53353,11,237,5,Utilities,0
677,20,68030,11,235,5,Food,0
678,33,48008,2,140,6,Shopping,1
679,40,45703,19,107,3,Entertainment,0
680,28,57257,5,241,10,Food,1
681,29,41607,3,145,5,Utilities,0
682,27,54432,8,116,24,Shopping,0
683,49,50952,4,251,20,Shopping,0
684,33,42643,13,149,5,Entertainment,0
685,25,64711,14,161,15,Travel,1
686,55,59689,1,298,17,Travel,0
687,29,44694,5,117,17,Travel,0
688,41,49775,7,137,24,Shopping,0
689,45,45930,6,177,18,Entertainment,0
690,25,40420,15,187,26,Entertainment,0
691,45,24525,15,155,10,Travel,0
692,53,42742,8,142,23,Food,1
693,43,40639,2,275,7,Travel,0
694,25,51723,14,213,11,Shopping,1
695,45,56610,16,229,14,Food,1
696,45,37967,10,193,9,Entertainment,0
697,54,55602,15,214,17,Utilities,0
698,58,35656,4,246,2,Food,0
699,53,48120,12,150,17,Entertainment,1
700,44,40963,10,213,17,Food,0
701,34,61192,2,234,27,Travel,1
702,26,51751,4,277,20,Food,0
703,50,48347,6,297,24,Food,0
704,37,40621,14,203,10,Food,1
705,30,45067,3,256,24,Shopping,0
706,45,77435,15,66,12,Shopping,0
707,46,42483,1,277,12,Travel,0
